,a_District,a_type,a_hour,a_weat
942,20,1,10,1
943,25,2,8,10
944,34,2,14,9
945,22,1,16,2
946,26,2,19,2
947,20,2,9,1
948,10,2,22,1
949,23,1,2,1
950,33,2,9,1
951,9,2,15,1
952,15,2,20,1
953,34,2,21,1
954,34,2,13,1
955,34,2,15,1
956,17,2,17,1
957,15,1,18,1
958,31,1,8,1
959,34,2,15,1
960,25,2,17,1
961,9,2,18,1
962,19,1,20,1
963,6,2,21,1
964,37,2,8,1
965,37,2,11,1
966,3,2,18,1
967,4,2,8,2
968,18,2,17,1
969,16,2,23,2
970,27,2,1,1
971,38,2,17,2
972,34,2,20,1
973,22,2,21,4
974,11,2,18,1
975,33,2,15,1
976,9,2,18,1
977,20,2,17,1
978,13,2,15,10
979,11,2,23,1
980,33,2,18,1
981,22,2,22,10
982,23,2,10,1
983,28,2,15,1
984,10,2,13,2
985,6,2,1,1
986,25,1,1,2
987,4,2,11,1
988,1,2,11,1
989,20,2,13,10
990,22,2,17,1
991,12,2,8,1
992,28,1,15,1
993,37,2,10,1
994,34,2,21,1
995,34,1,1,1
996,4,1,10,1
997,25,2,2,10
998,25,2,6,1
999,8,2,10,1
1000,35,2,13,1
1001,10,2,16,1
1002,3,2,12,1
1003,9,2,12,1
1004,26,2,21,8
1005,28,2,20,1
1006,11,2,19,1
1007,37,2,16,1
1008,19,2,18,1
1009,16,2,19,8
1010,3,2,0,1
1011,3,2,12,2
1012,31,2,14,2
1013,9,2,15,1
1014,37,2,18,2
1015,35,2,8,1
1016,28,2,14,1
1017,9,2,10,1
1018,4,1,14,1
1019,20,2,20,1
1020,28,2,12,1
1021,22,2,17,2
1022,8,2,20,1
1023,12,1,20,1
1024,37,1,17,2
1025,37,2,1,2
1026,6,2,11,1
1027,9,2,16,10
1028,26,2,12,1
1029,22,2,20,1
1030,26,2,11,1
1031,11,2,13,1
1032,28,2,21,1
1033,20,2,9,1
1034,23,2,20,1
1035,3,1,20,1
1036,13,2,22,2
1037,25,2,9,1
1038,15,2,21,1
1039,16,2,14,1
1040,35,2,22,1
1041,31,2,23,2
1042,18,2,11,1
1043,34,2,14,1
1044,16,2,14,1
1045,12,2,22,1
1046,23,2,11,1
1047,22,1,17,1
1048,9,2,17,1
1049,3,2,14,1
1050,11,2,18,1
1051,3,2,8,1
1052,38,2,16,10
1053,10,2,22,1
1054,23,1,1,1
1055,18,2,10,1
1056,28,2,12,1
1057,4,2,18,2
1058,9,2,17,2
1059,31,1,12,1
1060,37,2,21,1
1061,15,1,20,1
1062,6,2,7,1
1063,34,2,16,1
1064,33,2,18,10
1065,4,2,14,1
1066,22,2,15,1
1067,10,2,10,1
1068,28,2,13,5
1069,28,2,15,2
1070,6,2,20,2
1071,18,2,19,1
1072,22,2,22,1
1073,25,2,14,1
1074,13,1,18,1
1075,31,2,16,10
1076,3,2,19,1
1077,37,2,13,1
1078,28,1,14,1
1079,6,2,0,1
1080,18,2,2,1
1081,22,2,23,1
1082,20,2,15,1
1083,37,2,16,1
1084,6,1,2,1
1085,37,2,12,1
1086,38,2,7,8
1087,6,2,8,1
1088,8,2,11,1
1089,34,2,9,1
1090,15,2,8,1
1091,28,2,17,1
1092,34,2,18,1
1093,34,2,19,1
1094,37,2,1,1
1095,18,2,11,1
1096,18,2,12,1
1097,33,2,15,1
1098,11,1,18,1
1099,10,2,8,1
1100,37,2,14,1
1101,28,2,15,1
1102,9,2,9,1
1103,28,2,17,1
1104,9,2,17,1
1105,37,1,1,1
1106,37,2,15,1
1107,3,2,23,1
1108,28,2,11,8
1109,3,2,15,1
1110,18,2,13,1
1111,25,2,13,1
1112,1,2,7,1
1113,33,2,8,1
1114,37,1,20,1
1115,39,2,11,1
1116,34,2,2,1
1117,28,2,2,1
1118,38,2,3,1
1119,10,2,9,8
1120,28,2,17,1
1121,37,1,9,1
1122,22,2,12,1
1123,39,2,14,2
1124,28,2,17,1
1125,18,2,8,5
1126,23,2,8,2
1127,9,2,16,2
1128,27,2,19,1
1129,1,2,0,7
1130,34,2,7,1
1131,16,2,10,1
1132,33,2,16,1
1133,3,1,19,1
1134,28,2,0,5
1135,13,2,12,1
1136,18,2,20,1
1137,19,2,1,2
1138,8,2,9,1
1139,20,2,14,1
1140,33,2,17,1
1141,10,2,9,1
1142,9,2,8,4
1143,28,2,17,1
1144,8,2,17,1
1145,35,2,1,1
1146,3,2,11,1
1147,37,2,9,1
1148,15,2,19,1
1149,10,1,2,2
1150,10,2,10,1
1151,16,1,11,1
1152,19,1,20,2
1153,6,2,17,1
1154,33,2,14,4
1155,8,2,20,1
1156,4,2,12,1
1157,39,1,14,2
1158,13,2,17,2
1159,39,2,20,1
1160,16,1,21,1
1161,12,2,10,1
1162,11,2,21,1
1163,11,2,19,10
1164,25,2,12,1
1165,18,2,15,1
1166,10,2,9,10
1167,10,2,1,1
1168,20,2,16,10
1169,22,2,2,1
1170,34,2,21,1
1171,28,2,21,1
1172,37,2,8,2
1173,28,1,14,1
1174,19,2,18,1
1175,27,2,2,2
1176,25,2,13,1
1177,8,2,16,1
1178,26,2,9,1
1179,20,2,14,2
1180,6,2,14,1
1181,38,2,15,2
1182,8,2,18,2
1183,35,1,22,2
1184,33,2,23,1
1185,4,2,19,2
1186,23,2,23,10
1187,20,2,3,1
1188,1,2,8,2
1189,10,2,14,2
1190,10,2,17,10
1191,22,2,17,2
1192,18,2,8,1
1193,31,2,11,1
1194,23,2,11,8
1195,22,2,15,1
1196,4,2,18,1
1197,6,2,13,2
1198,1,2,18,2
1199,4,2,11,1
1200,23,2,15,1
1201,13,1,8,2
1202,31,2,8,2
1203,28,1,6,2
1204,1,2,21,9
1205,28,2,16,1
1206,18,2,16,1
1207,8,2,16,1
1208,8,2,17,2
1209,12,2,18,1
1210,28,1,7,1
1211,23,1,16,1
1212,22,2,17,1
1213,22,2,20,1
1214,25,2,15,10
1215,19,2,11,1
1216,11,2,18,1
1217,28,2,13,9
1218,38,2,17,2
1219,17,2,9,1
1220,25,2,23,1
1221,31,2,11,10
1222,27,2,7,9
1223,10,2,19,1
1224,33,2,9,2
1225,13,2,9,7
1226,25,2,10,8
1227,6,2,12,1
1228,12,2,7,10
1229,25,2,19,1
1230,9,2,16,1
1231,4,2,2,9
1232,31,2,17,4
1233,12,2,19,1
1234,18,2,7,1
1235,38,2,9,1
1236,23,1,13,1
1237,3,2,16,9
1238,19,2,18,1
1239,1,2,9,1
1240,23,2,19,9
1241,35,2,8,1
1242,38,1,14,1
1243,25,2,17,1
1244,9,2,22,1
1245,37,2,12,1
1246,10,1,14,2
1247,37,2,18,2
1248,38,2,8,1
1249,20,2,17,10
1250,25,2,22,3
1251,3,2,15,10
1252,28,2,17,1
1253,18,2,22,9
1254,39,2,3,2
1255,3,2,7,1
1256,15,2,17,2
1257,28,2,17,1
1258,6,2,18,2
1259,23,2,21,2
1260,3,2,16,1
1261,18,2,20,1
1262,12,2,12,1
1263,20,2,14,1
1264,37,2,22,1
1265,28,2,2,1
1266,28,2,9,8
1267,35,2,11,8
1268,27,2,15,1
1269,4,2,16,2
1270,6,2,2,2
1271,25,2,20,2
1272,25,2,0,5
1273,23,2,10,2
1274,22,1,13,2
1275,28,2,14,2
1276,39,2,17,5
1277,17,2,9,10
1278,18,2,18,1
1279,23,1,7,2
1280,37,2,16,2
1281,38,2,3,9
1282,35,2,9,2
1283,37,2,10,1
1284,22,2,13,2
1285,12,2,0,9
1286,13,2,9,9
1287,37,2,11,9
1288,23,1,14,1
1289,9,2,2,1
